"Rank","CryptoCurrency","Market Cap.","Price","Circulating Supply","Volume (24h)","Change (24h)","DateTime"
1,"Bitcoin","$373,083,271,566","$19,459.91","19,174,537","$14,367,264,859","0.74 %",2022-10-09 22:12:07
2,"Ethereum","$159,437,300,903","$1,318.81","120,884,475","$4,852,846,527","0.46 %",2022-10-09 22:12:07
3,"Tether","$68,384,275,068","$1.00","68,371,859,092","$18,530,861,806","-0.12 %",2022-10-09 22:12:07
4,"USD Coin","$46,047,695,849","$1.00","46,062,162,263","$2,011,984,540","-0.08 %",2022-10-09 22:12:07
5,"BNB","$45,336,996,267","$277.80","163,276,975","$484,612,481","0.18 %",2022-10-09 22:12:07
6,"XRP","$26,660,484,882","$0.54","49,858,575,704","$1,643,821,416","3.67 %",2022-10-09 22:12:07
7,"Binance USD","$21,667,260,094","$1.00","21,676,937,877","$3,391,557,040","0.05 %",2022-10-09 22:12:07
8,"Cardano","$14,313,302,252","$0.42","33,820,262,544","$245,841,580","0.47 %",2022-10-09 22:12:07
9,"Solana","$11,747,108,023","$32.87","357,157,574","$382,256,441","1.06 %",2022-10-09 22:12:07
10,"Dogecoin","$8,488,109,978","$0.06","136,415,506,384","$162,170,233","1.17 %",2022-10-09 22:12:07
11,"Polkadot","$7,485,039,830","$6.45","1,159,660,571","$160,842,303","2.68 %",2022-10-09 22:12:07
12,"Shiba Inu","$6,503,048,155","$0.00","589,374,342,835,270","$99,143,191","0.98 %",2022-10-09 22:12:07
13,"Dai","$6,301,076,022","$1.00","6,306,221,054","$174,507,066","-0.11 %",2022-10-09 22:12:07
14,"Polygon","$6,114,082,953","$0.82","7,441,499,127","$153,231,881","1.33 %",2022-10-09 22:12:07
16,"TRON","$5,766,619,360","$0.06","92,330,342,809","$183,406,700","0.64 %",2022-10-09 22:12:07
17,"Avalanche","$5,021,353,290","$16.96","296,138,162","$79,689,909","1.46 %",2022-10-09 22:12:07
18,"Uniswap","$4,994,106,143","$6.62","753,766,667","$62,493,638","1.95 %",2022-10-09 22:12:07
19,"Wrapped Bitcoin","$4,764,134,305","$19,467.64","244,757","$90,091,039","0.76 %",2022-10-09 22:12:07
20,"OKB","$3,920,273,350","$15.58","251,627,612","$11,395,850","-0.31 %",2022-10-09 22:12:07
21,"Cosmos Hub","$3,838,241,733","$13.13","292,586,164","$141,982,205","0.86 %",2022-10-09 22:12:07
22,"LEO Token","$3,825,237,694","$4.11","933,835,141","$55,257","0.88 %",2022-10-09 22:12:07
23,"Litecoin","$3,819,645,611","$53.52","71,349,833","$171,686,942","1.73 %",2022-10-09 22:12:07
